angle,azimuth,date,hour,power
35,160,2024-03-21,6,
35,160,2024-03-21,7,96.87986346628419
35,160,2024-03-21,8,107.94259221009125
35,160,2024-03-21,9,115.29090477076872
35,160,2024-03-21,10,189.15416208682637
35,160,2024-03-21,11,241.27319679051192
35,160,2024-03-21,12,252.14760188146872
35,160,2024-03-21,13,221.54309642541216
35,160,2024-03-21,14,147.34295615772322
35,160,2024-03-21,15,91.41405962170816
35,160,2024-03-21,16,32.97952801001644
35,160,2024-03-21,17,9.720369869755803
35,160,2024-03-21,18,0.0
35,160,2024-03-21,19,
35,160,2024-03-21,20,
35,160,2024-03-21,21,
35,165,2024-03-21,6,
35,165,2024-03-21,7,80.53405813999484
35,165,2024-03-21,8,98.78894162227385
35,165,2024-03-21,9,109.76181199191728
35,165,2024-03-21,10,183.9203906839429
35,165,2024-03-21,11,238.3250858967269
35,165,2024-03-21,12,252.4473957188714
35,165,2024-03-21,13,224.77937183158338
35,165,2024-03-21,14,151.70111089383255
35,165,2024-03-21,15,95.98108558548728
35,165,2024-03-21,16,35.62948745744869
35,165,2024-03-21,17,11.323912724136132
35,165,2024-03-21,18,0.0
35,165,2024-03-21,19,
35,165,2024-03-21,20,
35,165,2024-03-21,21,
35,170,2024-03-21,6,
35,170,2024-03-21,7,64.13986230008794
35,170,2024-03-21,8,89.18745768461193
35,170,2024-03-21,9,103.7858304134243
35,170,2024-03-21,10,177.9746864890281
35,170,2024-03-21,11,234.49982610784565
35,170,2024-03-21,12,251.86313313504792
35,170,2024-03-21,13,227.2662022412324
35,170,2024-03-21,14,155.58173463109875
35,170,2024-03-21,15,100.26179071555845
35,170,2024-03-21,16,38.19483890040948
35,170,2024-03-21,17,12.942841954349209
35,170,2024-03-21,18,0.0
35,170,2024-03-21,19,
35,170,2024-03-21,20,
35,170,2024-03-21,21,
35,175,2024-03-21,6,
35,175,2024-03-21,7,48.014289848637404
35,175,2024-03-21,8,79.21910567472692
35,175,2024-03-21,9,97.40810517421988
35,175,2024-03-21,10,171.3574979506368
35,175,2024-03-21,11,229.8312909446736
35,175,2024-03-21,12,250.39841631170495
35,175,2024-03-21,13,228.98001431969988
35,175,2024-03-21,14,158.9565140016839
35,175,2024-03-21,15,104.22613451494341
35,175,2024-03-21,16,40.656551030408
35,175,2024-03-21,17,14.550520459612294
35,175,2024-03-21,18,0.0
35,175,2024-03-21,19,
35,175,2024-03-21,20,
35,175,2024-03-21,21,
35,180,2024-03-21,6,
35,180,2024-03-21,7,32.56030058673208
35,180,2024-03-21,8,68.97056819407885
35,180,2024-03-21,9,90.67692577054113
35,180,2024-03-21,10,164.11737812847633
35,180,2024-03-21,11,224.3469305572831
35,180,2024-03-21,12,248.06309535965852
35,180,2024-03-21,13,229.91192896091803
35,180,2024-03-21,14,161.80351806027284
35,180,2024-03-21,15,107.84700144350055
35,180,2024-03-21,16,42.99440878851766
35,180,2024-03-21,17,16.123664131119504
35,180,2024-03-21,18,0.0
35,180,2024-03-21,19,
35,180,2024-03-21,20,
35,180,2024-03-21,21,
35,185,2024-03-21,6,
35,185,2024-03-21,7,18.607397573360153
35,185,2024-03-21,8,58.539842381115214
35,185,2024-03-21,9,83.64649096675855
35,185,2024-03-21,10,156.303523848578
35,185,2024-03-21,11,218.084865303309
35,185,2024-03-21,12,244.87543218052036
35,185,2024-03-21,13,230.05887918582553
35,185,2024-03-21,14,164.10082750157298
35,185,2024-03-21,15,111.10054153811286
35,185,2024-03-21,16,45.189577977914354
35,185,2024-03-21,17,17.641685252929044
35,185,2024-03-21,18,0.0
35,185,2024-03-21,19,
35,185,2024-03-21,20,
35,185,2024-03-21,21,
35,190,2024-03-21,6,
35,190,2024-03-21,7,17.162401901742886
35,190,2024-03-21,8,48.042048905783886
35,190,2024-03-21,9,76.37230568652973
35,190,2024-03-21,10,147.97433398465392
35,190,2024-03-21,11,211.08770771119774
35,190,2024-03-21,12,240.85312021686676
35,190,2024-03-21,13,229.4139977305501
35,190,2024-03-21,14,165.83519437139418
35,190,2024-03-21,15,113.96144042441964
35,190,2024-03-21,16,47.22655524423516
35,190,2024-03-21,17,19.09082714833991
35,190,2024-03-21,18,0.0
35,190,2024-03-21,19,
35,190,2024-03-21,20,
35,190,2024-03-21,21,
35,195,2024-03-21,6,
35,195,2024-03-21,7,15.953412750638531
35,195,2024-03-21,8,37.62094045558409
35,195,2024-03-21,9,68.91341857158987
35,195,2024-03-21,10,139.18692502657325
35,195,2024-03-21,11,203.4038833429973
35,195,2024-03-21,12,236.0277990341354
35,195,2024-03-21,13,227.98576883286998
35,195,2024-03-21,14,166.99173788261476
35,195,2024-03-21,15,116.41214342563063
35,195,2024-03-21,16,49.08979211057688
35,195,2024-03-21,17,20.459102185454427
35,195,2024-03-21,18,0.0
35,195,2024-03-21,19,
35,195,2024-03-21,20,
35,195,2024-03-21,21,
35,200,2024-03-21,6,
35,200,2024-03-21,7,14.956455506927787
35,200,2024-03-21,8,27.569270099420628
35,200,2024-03-21,9,61.334297951566796
35,200,2024-03-21,10,130.00771514426475
35,200,2024-03-21,11,195.08318149263
35,200,2024-03-21,12,230.43127004875518
35,200,2024-03-21,13,225.78310300617008
35,200,2024-03-21,14,167.56533666974127
35,200,2024-03-21,15,118.43534917669224
35,200,2024-03-21,16,50.765826334059525
35,200,2024-03-21,17,21.73607039389446
35,200,2024-03-21,18,0.0
35,200,2024-03-21,19,
35,200,2024-03-21,20,
35,200,2024-03-21,21,
36,160,2024-03-21,6,
36,160,2024-03-21,7,99.09925003564933
36,160,2024-03-21,8,109.88617500760334
36,160,2024-03-21,9,117.04348126265504
36,160,2024-03-21,10,191.4765846016926
36,160,2024-03-21,11,243.4735926187788
36,160,2024-03-21,12,253.96948590171738
36,160,2024-03-21,13,222.86195958023643
36,160,2024-03-21,14,148.17006156099862
36,160,2024-03-21,15,91.81230106858503
36,160,2024-03-21,16,33.08592339137126
36,160,2024-03-21,17,9.662491869933222
36,160,2024-03-21,18,0.0
36,160,2024-03-21,19,
36,160,2024-03-21,20,
36,160,2024-03-21,21,
36,165,2024-03-21,6,
36,165,2024-03-21,7,82.22501393334548
36,165,2024-03-21,8,100.44343896698246
36,165,2024-03-21,9,111.338147755456
36,165,2024-03-21,10,186.08829054118786
36,165,2024-03-21,11,240.44276809677172
36,165,2024-03-21,12,254.27671568920454
36,165,2024-03-21,13,226.18430447102847
36,165,2024-03-21,14,152.6479127283399
36,165,2024-03-21,15,96.50657580493245
36,165,2024-03-21,16,35.81644362269458
36,165,2024-03-21,17,11.307838551474829
36,165,2024-03-21,18,0.0
36,165,2024-03-21,19,
36,165,2024-03-21,20,
36,165,2024-03-21,21,
