tilt,azimuth,absorbed_Wh_m2
0,90,0.0
0,100,0.0
0,110,0.0
0,120,0.0
0,130,0.0
0,140,0.0
0,150,0.0
0,160,0.0
0,170,0.0
0,180,0.0
0,190,0.0
0,200,0.0
0,210,0.0
0,220,0.0
0,230,0.0
0,240,0.0
0,250,0.0
0,260,0.0
0,270,0.0
5,90,0.0
5,100,0.0
5,110,0.0
5,120,0.0
5,130,0.0
5,140,0.0
5,150,0.0
5,160,0.0
5,170,0.0
5,180,0.0
5,190,0.0
5,200,0.0
5,210,0.0
5,220,0.0
5,230,0.0
5,240,0.0
5,250,0.0
5,260,0.0
5,270,0.0
10,90,0.0
10,100,0.0
10,110,0.0
10,120,0.0
10,130,0.0
10,140,0.0
10,150,0.0
10,160,0.0
10,170,0.0
10,180,0.0
10,190,0.0
10,200,0.0
10,210,0.0
10,220,0.0
10,230,0.0
10,240,0.0
10,250,0.0
10,260,0.0
10,270,0.0
15,90,0.0
15,100,0.0
15,110,0.0
15,120,0.0
15,130,0.0
15,140,0.0
15,150,0.0
15,160,0.0
15,170,0.0
15,180,0.0
15,190,0.0
15,200,0.0
15,210,0.0
15,220,0.0
15,230,0.0
15,240,0.0
15,250,0.0
15,260,0.0
15,270,0.0
20,90,0.0
20,100,0.0
20,110,0.0
20,120,0.0
20,130,0.0
20,140,0.0
20,150,0.0
20,160,0.0
20,170,0.0
20,180,0.0
20,190,0.0
20,200,0.0
20,210,0.0
20,220,0.0
20,230,0.0
20,240,0.0
20,250,0.0
20,260,0.0
20,270,0.0
25,90,0.0
25,100,0.0
25,110,0.0
25,120,0.0
25,130,0.0
25,140,0.0
25,150,0.0
25,160,0.0
25,170,0.0
25,180,0.0
25,190,0.0
25,200,0.0
25,210,0.0
25,220,0.0
25,230,0.0
25,240,0.0
25,250,0.0
25,260,0.0
25,270,0.0
30,90,0.0
30,100,0.0
30,110,0.0
30,120,0.0
30,130,0.0
30,140,0.0
30,150,0.0
30,160,0.0
30,170,0.0
30,180,0.0
30,190,0.0
30,200,0.0
30,210,0.0
30,220,0.0
30,230,0.0
30,240,0.0
30,250,0.0
30,260,0.0
30,270,0.0
35,90,0.0
35,100,0.0
35,110,0.0
35,120,0.0
35,130,0.0
35,140,0.0
35,150,0.0
35,160,0.0
35,170,0.0
35,180,0.0
35,190,0.0
35,200,0.0
35,210,0.0
35,220,0.0
35,230,0.0
35,240,0.0
35,250,0.0
35,260,0.0
35,270,0.0
40,90,0.0
40,100,0.0
40,110,0.0
40,120,0.0
40,130,0.0
40,140,0.0
40,150,0.0
40,160,0.0
40,170,0.0
40,180,0.0
40,190,0.0
40,200,0.0
40,210,0.0
40,220,0.0
40,230,0.0
40,240,0.0
40,250,0.0
40,260,0.0
40,270,0.0
45,90,0.0
45,100,0.0
45,110,0.0
45,120,0.0
45,130,0.0
45,140,0.0
45,150,0.0
45,160,0.0
45,170,0.0
45,180,0.0
45,190,0.0
45,200,0.0
45,210,0.0
45,220,0.0
45,230,0.0
45,240,0.0
45,250,0.0
45,260,0.0
45,270,0.0
50,90,0.0
50,100,0.0
50,110,0.0
50,120,0.0
50,130,0.0
50,140,0.0
50,150,0.0
50,160,0.0
50,170,0.0
50,180,0.0
50,190,0.0
50,200,0.0
50,210,0.0
50,220,0.0
50,230,0.0
50,240,0.0
50,250,0.0
50,260,0.0
50,270,0.0
55,90,0.0
55,100,0.0
55,110,0.0
55,120,0.0
55,130,0.0
55,140,0.0
55,150,0.0
55,160,0.0
55,170,0.0
55,180,0.0
55,190,0.0
55,200,0.0
55,210,0.0
55,220,0.0
55,230,0.0
55,240,0.0
55,250,0.0
55,260,0.0
55,270,0.0
60,90,0.0
60,100,0.0
60,110,0.0
60,120,0.0
60,130,0.0
60,140,0.0
60,150,0.0
60,160,0.0
60,170,0.0
60,180,0.0
60,190,0.0
60,200,0.0
60,210,0.0
60,220,0.0
60,230,0.0
60,240,0.0
60,250,0.0
60,260,0.0
60,270,0.0
65,90,0.0
65,100,0.0
65,110,0.0
65,120,0.0
65,130,0.0
65,140,0.0
65,150,0.0
65,160,0.0
65,170,0.0
65,180,0.0
65,190,0.0
65,200,0.0
65,210,0.0
65,220,0.0
65,230,0.0
65,240,0.0
65,250,0.0
65,260,0.0
65,270,0.0
70,90,0.0
70,100,0.0
70,110,0.0
70,120,0.0
70,130,0.0
70,140,0.0
70,150,0.0
70,160,0.0
70,170,0.0
70,180,0.0
70,190,0.0
70,200,0.0
70,210,0.0
70,220,0.0
70,230,0.0
70,240,0.0
