time_hr,T_simulated_C,T_reference_C,dT_cooling_K,Q_total_W,Q_evap_W,Q_conv_W
0.0,22.0,22.0,0.0,773.03,675.43,97.6
0.0167,21.977,21.992,0.014,773.99,676.95,97.05
0.0333,21.955,21.983,0.029,774.95,678.46,96.49
0.05,21.932,21.975,0.043,775.92,679.98,95.94
0.0667,21.909,21.967,0.058,776.88,681.49,95.38
0.0833,21.886,21.958,0.072,777.84,683.01,94.83
0.1,21.864,21.95,0.086,778.79,684.52,94.27
0.1167,21.841,21.942,0.101,779.75,686.04,93.71
0.1333,21.818,21.933,0.115,780.71,687.55,93.16
0.15,21.795,21.925,0.13,781.66,689.06,92.6
0.1667,21.772,21.917,0.144,782.62,690.58,92.04
0.1833,21.749,21.908,0.159,783.57,692.09,91.48
0.2,21.726,21.9,0.174,784.52,693.6,90.92
0.2167,21.704,21.892,0.188,785.47,695.11,90.37
0.2333,21.681,21.883,0.203,786.42,696.62,89.81
0.25,21.658,21.875,0.217,787.37,698.13,89.25
0.2667,21.635,21.867,0.232,788.32,699.64,88.69
0.2833,21.612,21.858,0.247,789.27,701.14,88.13
0.3,21.589,21.85,0.261,790.22,702.65,87.56
0.3167,21.566,21.842,0.276,791.16,704.16,87.0
0.3333,21.543,21.833,0.291,792.11,705.67,86.44
0.35,21.52,21.825,0.305,793.05,707.17,85.88
0.3667,21.497,21.817,0.32,793.99,708.68,85.31
0.3833,21.473,21.808,0.335,794.93,710.18,84.75
0.4,21.45,21.8,0.35,795.87,711.69,84.19
0.4167,21.427,21.792,0.364,796.81,713.19,83.62
0.4333,21.404,21.783,0.379,797.75,714.69,83.06
0.45,21.381,21.775,0.394,798.69,716.19,82.49
0.4667,21.358,21.767,0.409,799.62,717.7,81.93
0.4833,21.335,21.758,0.424,800.56,719.2,81.36
0.5,21.311,21.75,0.439,801.49,720.7,80.8
0.5167,21.288,21.742,0.454,802.43,722.2,80.23
0.5333,21.265,21.733,0.469,803.36,723.7,79.66
0.55,21.242,21.725,0.483,804.29,725.19,79.09
0.5667,21.218,21.717,0.498,805.22,726.69,78.53
0.5833,21.195,21.708,0.513,806.15,728.19,77.96
0.6,21.172,21.7,0.528,807.07,729.69,77.39
0.6167,21.148,21.692,0.543,808.0,731.18,76.82
0.6333,21.125,21.683,0.558,808.93,732.68,76.25
0.65,21.102,21.675,0.573,809.85,734.17,75.68
0.6667,21.078,21.667,0.588,810.77,735.67,75.11
0.6833,21.055,21.658,0.604,811.7,737.16,74.54
0.7,21.031,21.65,0.619,812.62,738.65,73.97
0.7167,21.008,21.642,0.634,813.54,740.14,73.39
0.7333,20.985,21.633,0.649,814.46,741.64,72.82
0.75,20.961,21.625,0.664,815.38,743.13,72.25
0.7667,20.938,21.617,0.679,816.29,744.62,71.68
0.7833,20.914,21.608,0.694,817.21,746.11,71.1
0.8,20.891,21.6,0.709,818.12,747.59,70.53
0.8167,20.867,21.592,0.725,819.04,749.08,69.95
0.8333,20.843,21.583,0.74,819.95,750.57,69.38
0.85,20.82,21.575,0.755,820.86,752.06,68.81
0.8667,20.796,21.567,0.77,821.77,753.54,68.23
0.8833,20.773,21.558,0.786,822.68,755.03,67.65
0.9,20.749,21.55,0.801,823.59,756.51,67.08
0.9167,20.725,21.542,0.816,824.49,757.99,66.5
0.9333,20.702,21.533,0.832,825.4,759.48,65.92
0.95,20.678,21.525,0.847,826.31,760.96,65.35
0.9667,20.654,21.517,0.862,827.21,762.44,64.77
0.9833,20.631,21.508,0.878,828.11,763.92,64.19
1.0,20.607,21.5,0.893,829.01,765.4,63.61
1.0167,20.583,21.492,0.908,829.91,766.88,63.03
1.0333,20.559,21.483,0.924,830.81,768.36,62.45
1.05,20.536,21.475,0.939,831.71,769.84,61.87
1.0667,20.512,21.467,0.955,832.61,771.32,61.29
1.0833,20.488,21.458,0.97,833.5,772.79,60.71
1.1,20.464,21.45,0.986,834.4,774.27,60.13
1.1167,20.44,21.442,1.001,835.29,775.74,59.55
1.1333,20.417,21.433,1.017,836.18,777.22,58.96
1.15,20.393,21.425,1.032,837.07,778.69,58.38
1.1667,20.369,21.417,1.048,837.96,780.16,57.8
1.1833,20.345,21.408,1.063,838.85,781.63,57.22
1.2,20.321,21.4,1.079,839.74,783.11,56.63
1.2167,20.297,21.392,1.095,840.62,784.58,56.05
1.2333,20.273,21.383,1.11,841.51,786.05,55.46
1.25,20.249,21.375,1.126,842.39,787.51,54.88
1.2667,20.225,21.367,1.142,843.28,788.98,54.29
1.2833,20.201,21.358,1.157,844.16,790.45,53.71
1.3,20.177,21.35,1.173,845.04,791.92,53.12
1.3167,20.153,21.342,1.189,845.92,793.38,52.54
1.3333,20.129,21.333,1.204,846.8,794.85,51.95
1.35,20.105,21.325,1.22,847.67,796.31,51.36
1.3667,20.081,21.317,1.236,848.55,797.78,50.77
1.3833,20.057,21.308,1.252,849.42,799.24,50.18
1.4,20.033,21.3,1.267,850.3,800.7,49.6
1.4167,20.009,21.292,1.283,851.17,802.16,49.01
1.4333,19.984,21.283,1.299,852.04,803.62,48.42
1.45,19.96,21.275,1.315,852.91,805.08,47.83
1.4667,19.936,21.267,1.331,853.78,806.54,47.24
1.4833,19.912,21.258,1.347,854.64,808.0,46.65
1.5,19.888,21.25,1.362,855.51,809.45,46.06
1.5167,19.863,21.242,1.378,856.37,810.91,45.47
1.5333,19.839,21.233,1.394,857.24,812.36,44.87
1.55,19.815,21.225,1.41,858.1,813.82,44.28
1.5667,19.791,21.217,1.426,858.96,815.27,43.69
1.5833,19.766,21.208,1.442,859.82,816.72,43.1
1.6,19.742,21.2,1.458,860.68,818.18,42.5
1.6167,19.718,21.192,1.474,861.54,819.63,41.91
1.6333,19.693,21.183,1.49,862.39,821.08,41.32
1.65,19.669,21.175,1.506,863.25,822.53,40.72
1.6667,19.645,21.167,1.522,864.1,823.98,40.13
1.6833,19.62,21.158,1.538,864.96,825.42,39.53
1.7,19.596,21.15,1.554,865.81,826.87,38.94
1.7167,19.571,21.142,1.57,866.66,828.32,38.34
1.7333,19.547,21.133,1.586,867.5,829.76,37.74
1.75,19.522,21.125,1.603,868.35,831.21,37.15
1.7667,19.498,21.117,1.619,869.2,832.65,36.55
1.7833,19.473,21.108,1.635,870.04,834.09,35.95
1.8,19.449,21.1,1.651,870.89,835.53,35.35
1.8167,19.424,21.092,1.667,871.73,836.97,34.76
1.8333,19.4,21.083,1.683,872.57,838.41,34.16
1.85,19.375,21.075,1.7,873.41,839.85,33.56
1.8667,19.351,21.067,1.716,874.25,841.29,32.96
1.8833,19.326,21.058,1.732,875.09,842.73,32.36
1.9,19.302,21.05,1.748,875.92,844.16,31.76
1.9167,19.277,21.042,1.765,876.76,845.6,31.16
1.9333,19.252,21.033,1.781,877.59,847.03,30.56
1.95,19.228,21.025,1.797,878.42,848.47,29.96
1.9667,19.203,21.017,1.814,879.25,849.9,29.35
1.9833,19.178,21.008,1.83,880.08,851.33,28.75
2.0,19.154,21.0,1.846,880.91,852.76,28.15
2.0167,19.134,20.997,1.863,881.57,853.9,27.67
2.0333,19.114,20.993,1.879,882.23,855.04,27.19
2.05,19.095,20.99,1.895,882.89,856.18,26.71
2.0667,19.075,20.987,1.912,883.55,857.32,26.23
2.0833,19.055,20.983,1.928,884.21,858.46,25.74
2.1,19.035,20.98,1.945,884.86,859.6,25.26
2.1167,19.016,20.977,1.961,885.52,860.74,24.78
2.1333,18.996,20.973,1.978,886.17,861.88,24.3
2.15,18.976,20.97,1.994,886.83,863.01,23.81
2.1667,18.956,20.967,2.011,887.48,864.15,23.33
2.1833,18.936,20.963,2.027,888.13,865.29,22.85
2.2,18.916,20.96,2.044,888.78,866.42,22.36
2.2167,18.897,20.957,2.06,889.43,867.56,21.88
2.2333,18.877,20.953,2.077,890.08,868.69,21.39
2.25,18.857,20.95,2.093,890.73,869.83,20.91
2.2667,18.837,20.947,2.11,891.38,870.96,20.42
2.2833,18.817,20.943,2.126,892.03,872.09,19.94
2.3,18.797,20.94,2.143,892.68,873.23,19.45
2.3167,18.777,20.937,2.159,893.32,874.36,18.96
2.3333,18.757,20.933,2.176,893.97,875.49,18.48
2.35,18.737,20.93,2.193,894.61,876.62,17.99
2.3667,18.717,20.927,2.209,895.26,877.75,17.5
2.3833,18.697,20.923,2.226,895.9,878.88,17.02
2.4,18.677,20.92,2.243,896.54,880.01,16.53
2.4167,18.657,20.917,2.259,897.18,881.14,16.04
2.4333,18.637,20.913,2.276,897.83,882.27,15.55
2.45,18.617,20.91,2.293,898.47,883.4,15.07
2.4667,18.597,20.907,2.309,899.11,884.53,14.58
2.4833,18.577,20.903,2.326,899.74,885.66,14.09
2.5,18.557,20.9,2.343,900.38,886.78,13.6
2.5167,18.537,20.897,2.359,901.02,887.91,13.11
2.5333,18.517,20.893,2.376,901.66,889.04,12.62
2.55,18.497,20.89,2.393,902.29,890.16,12.13
2.5667,18.477,20.887,2.41,902.93,891.29,11.64
2.5833,18.457,20.883,2.426,903.56,892.41,11.15
2.6,18.437,20.88,2.443,904.19,893.54,10.66
2.6167,18.417,20.877,2.46,904.82,894.66,10.16
2.6333,18.396,20.873,2.477,905.46,895.78,9.67
2.65,18.376,20.87,2.494,906.09,896.91,9.18
2.6667,18.356,20.867,2.511,906.72,898.03,8.69
2.6833,18.336,20.863,2.527,907.35,899.15,8.2
2.7,18.316,20.86,2.544,907.97,900.27,7.7
2.7167,18.296,20.857,2.561,908.6,901.39,7.21
2.7333,18.275,20.853,2.578,909.23,902.51,6.72
2.75,18.255,20.85,2.595,909.85,903.63,6.22
2.7667,18.235,20.847,2.612,910.48,904.75,5.73
2.7833,18.215,20.843,2.629,911.1,905.87,5.24
2.8,18.194,20.84,2.646,911.73,906.99,4.74
2.8167,18.174,20.837,2.663,912.35,908.1,4.25
2.8333,18.154,20.833,2.68,912.97,909.22,3.75
2.85,18.133,20.83,2.697,913.59,910.34,3.26
2.8667,18.113,20.827,2.714,914.21,911.45,2.76
2.8833,18.093,20.823,2.731,914.83,912.57,2.26
2.9,18.072,20.82,2.748,915.45,913.68,1.77
2.9167,18.052,20.817,2.765,916.07,914.8,1.27
2.9333,18.032,20.813,2.782,916.69,915.91,0.77
2.95,18.011,20.81,2.799,917.3,917.02,0.28
2.9667,17.991,20.807,2.816,918.14,918.14,0.0
2.9833,17.971,20.803,2.833,919.25,919.25,0.0
3.0,17.95,20.8,2.85,920.36,920.36,0.0
3.0167,17.928,20.795,2.867,921.56,921.56,0.0
3.0333,17.906,20.79,2.884,922.77,922.77,0.0
3.05,17.884,20.785,2.901,923.97,923.97,0.0
3.0667,17.862,20.78,2.918,925.17,925.17,0.0
