Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.2800E+03 .8029E-01 .7961E-35 .3427E-20 .7017E-35 .2056E-20 .2056E-20
.2805E+03 .1047E+00 .1517E-32 .1068E-18 .1337E-32 .6408E-19 .6408E-19
.2810E+03 .1756E+00 .1454E-31 .5339E-18 .1281E-31 .3203E-18 .3203E-18
.2815E+03 .2466E+00 .2553E-29 .3669E-18 .2251E-29 .2202E-18 .2202E-18
.2820E+03 .2984E+00 .5495E-28 .1216E-17 .4843E-28 .7297E-18 .7297E-18
.2825E+03 .3215E+00 .4129E-27 .3232E-17 .3639E-27 .1939E-17 .1939E-17
.2830E+03 .3509E+00 .3831E-26 .1042E-16 .3376E-26 .6254E-17 .6254E-17
.2835E+03 .3298E+00 .1050E-25 .1702E-16 .9254E-26 .1021E-16 .1021E-16
.2840E+03 .3286E+00 .1644E-23 .2835E-15 .1449E-23 .1701E-15 .1701E-15
.2845E+03 .2573E+00 .1222E-22 .7987E-15 .1077E-22 .4792E-15 .4792E-15
.2850E+03 .1213E+00 .6765E-22 .1616E-14 .5962E-22 .9694E-15 .9694E-15
.2855E+03 .1409E+00 .1441E-20 .7943E-14 .1270E-20 .4766E-14 .4766E-14
.2860E+03 .3076E+00 .1002E-19 .3147E-13 .8836E-20 .1888E-13 .1888E-13
.2865E+03 .3664E+00 .1347E-18 .1388E-12 .1187E-18 .8330E-13 .8330E-13
.2870E+03 .3866E+00 .8401E-18 .3899E-12 .7405E-18 .2340E-12 .2340E-12
.2875E+03 .3870E+00 .8780E-17 .1472E-11 .7739E-17 .8830E-12 .8830E-12
.2880E+03 .2562E+00 .1110E-15 .3931E-11 .9786E-16 .2358E-11 .2358E-11
.2885E+03 .3672E+00 .7498E-15 .1271E-10 .6609E-15 .7628E-11 .7628E-11
.2890E+03 .4299E+00 .4409E-14 .3551E-10 .3886E-14 .2131E-10 .2131E-10
.2895E+03 .5025E+00 .3019E-13 .1102E-09 .2661E-13 .6611E-10 .6614E-10
.2900E+03 .6321E+00 .1626E-12 .3114E-09 .1433E-12 .1869E-09 .1870E-09
.2905E+03 .6609E+00 .5688E-12 .6384E-09 .5013E-12 .3831E-09 .3836E-09
.2910E+03 .6239E+00 .2315E-11 .1378E-08 .2040E-11 .8269E-09 .8289E-09
.2915E+03 .6160E+00 .1484E-10 .3986E-08 .1308E-10 .2392E-08 .2405E-08
.2920E+03 .5861E+00 .6449E-10 .8369E-08 .5684E-10 .5024E-08 .5081E-08
.2925E+03 .5081E+00 .1301E-09 .1231E-07 .1147E-09 .7392E-08 .7507E-08
.2930E+03 .5804E+00 .4450E-09 .2820E-07 .3923E-09 .1694E-07 .1733E-07
.2935E+03 .5894E+00 .2017E-08 .7477E-07 .1778E-08 .4496E-07 .4673E-07
.2940E+03 .5156E+00 .4793E-08 .1230E-06 .4225E-08 .7402E-07 .7825E-07
.2945E+03 .5561E+00 .1102E-07 .1964E-06 .9709E-08 .1184E-06 .1281E-06
.2950E+03 .5280E+00 .2729E-07 .3483E-06 .2405E-07 .2103E-06 .2343E-06
.2955E+03 .5957E+00 .1009E-06 .8556E-06 .8896E-07 .5181E-06 .6071E-06
.2960E+03 .6355E+00 .2403E-06 .1667E-05 .2118E-06 .1012E-05 .1223E-05
.2965E+03 .5041E+00 .4088E-06 .2368E-05 .3603E-06 .1440E-05 .1800E-05
.2970E+03 .4340E+00 .6463E-06 .3261E-05 .5697E-06 .1987E-05 .2557E-05
.2975E+03 .6115E+00 .2137E-05 .9066E-05 .1883E-05 .5540E-05 .7423E-05
.2980E+03 .5707E+00 .3954E-05 .1481E-04 .3485E-05 .9070E-05 .1256E-04
.2985E+03 .3876E+00 .4467E-05 .1538E-04 .3938E-05 .9441E-05 .1338E-04
.2990E+03 .5901E+00 .1095E-04 .3525E-04 .9655E-05 .2166E-04 .3132E-04
.2995E+03 .5335E+00 .2139E-04 .6426E-04 .1885E-04 .3957E-04 .5842E-04
.3000E+03 .4263E+00 .2469E-04 .7264E-04 .2176E-04 .4475E-04 .6651E-04
.3005E+03 .4493E+00 .3858E-04 .1130E-03 .3400E-04 .6964E-04 .1036E-03
.3010E+03 .5054E+00 .7652E-04 .2355E-03 .6745E-04 .1449E-03 .2123E-03
.3015E+03 .5418E+00 .1297E-03 .4417E-03 .1143E-03 .2711E-03 .3854E-03
.3020E+03 .3830E+00 .1141E-03 .3960E-03 .1006E-03 .2430E-03 .3435E-03
.3025E+03 .5564E+00 .2462E-03 .7696E-03 .2170E-03 .4734E-03 .6904E-03
.3030E+03 .6925E+00 .4966E-03 .1374E-02 .4377E-03 .8478E-03 .1286E-02
.3035E+03 .7046E+00 .6645E-03 .1747E-02 .5857E-03 .1080E-02 .1665E-02
.3040E+03 .5905E+00 .6373E-03 .1648E-02 .5617E-03 .1019E-02 .1581E-02
.3045E+03 .6632E+00 .9860E-03 .2515E-02 .8691E-03 .1556E-02 .2425E-02
.3050E+03 .6886E+00 .1551E-02 .3943E-02 .1367E-02 .2439E-02 .3806E-02
.3055E+03 .6267E+00 .1812E-02 .4601E-02 .1597E-02 .2846E-02 .4443E-02
.3060E+03 .5548E+00 .1776E-02 .4472E-02 .1565E-02 .2767E-02 .4332E-02
.3065E+03 .5993E+00 .2243E-02 .5637E-02 .1977E-02 .3488E-02 .5465E-02
.3070E+03 .6592E+00 .3380E-02 .8639E-02 .2979E-02 .5343E-02 .8322E-02
.3075E+03 .6667E+00 .4527E-02 .1184E-01 .3991E-02 .7315E-02 .1131E-01
.3080E+03 .6716E+00 .4819E-02 .1249E-01 .4247E-02 .7722E-02 .1197E-01
.3085E+03 .6960E+00 .5732E-02 .1496E-01 .5052E-02 .9245E-02 .1430E-01
.3090E+03 .5750E+00 .5286E-02 .1490E-01 .4659E-02 .9190E-02 .1385E-01
.3095E+03 .5253E+00 .6458E-02 .1706E-01 .5693E-02 .1054E-01 .1623E-01
.3100E+03 .4756E+00 .6697E-02 .1713E-01 .5903E-02 .1059E-01 .1650E-01
.3105E+03 .7310E+00 .1105E-01 .2767E-01 .9743E-02 .1712E-01 .2686E-01
.3110E+03 .8428E+00 .1424E-01 .3473E-01 .1255E-01 .2151E-01 .3406E-01
.3115E+03 .7821E+00 .1397E-01 .3345E-01 .1231E-01 .2073E-01 .3304E-01
.3120E+03 .6566E+00 .1447E-01 .3360E-01 .1275E-01 .2084E-01 .3359E-01
.3125E+03 .7127E+00 .1800E-01 .4097E-01 .1587E-01 .2543E-01 .4130E-01
.3130E+03 .7276E+00 .1982E-01 .4440E-01 .1747E-01 .2758E-01 .4505E-01
.3135E+03 .7421E+00 .1933E-01 .4281E-01 .1704E-01 .2660E-01 .4364E-01
.3140E+03 .8116E+00 .2473E-01 .5385E-01 .2180E-01 .3347E-01 .5527E-01
.3145E+03 .6065E+00 .2235E-01 .4818E-01 .1970E-01 .2996E-01 .4966E-01
.3150E+03 .7712E+00 .2965E-01 .6316E-01 .2614E-01 .3930E-01 .6543E-01
.3155E+03 .6958E+00 .2497E-01 .5229E-01 .2201E-01 .3255E-01 .5456E-01
.3160E+03 .5301E+00 .2214E-01 .4607E-01 .1952E-01 .2869E-01 .4820E-01
.3165E+03 .6782E+00 .3211E-01 .6662E-01 .2830E-01 .4149E-01 .6979E-01
.3170E+03 .8416E+00 .4022E-01 .8233E-01 .3545E-01 .5130E-01 .8675E-01
.3175E+03 .9003E+00 .4226E-01 .8509E-01 .3725E-01 .5305E-01 .9029E-01
.3180E+03 .6490E+00 .3327E-01 .6669E-01 .2933E-01 .4159E-01 .7091E-01
.3185E+03 .6979E+00 .4147E-01 .8383E-01 .3655E-01 .5225E-01 .8881E-01
.3190E+03 .7705E+00 .4942E-01 .9994E-01 .4356E-01 .6230E-01 .1059E+00
.3195E+03 .6988E+00 .4095E-01 .8004E-01 .3610E-01 .4996E-01 .8605E-01
.3200E+03 .8558E+00 .5000E-01 .9623E-01 .4407E-01 .6010E-01 .1042E+00
.3205E+03 .9287E+00 .6263E-01 .1222E+00 .5520E-01 .7625E-01 .1315E+00
.3210E+03 .7318E+00 .5553E-01 .1102E+00 .4895E-01 .6877E-01 .1177E+00
.3215E+03 .6906E+00 .5364E-01 .1054E+00 .4728E-01 .6579E-01 .1131E+00
.3220E+03 .8336E+00 .5852E-01 .1099E+00 .5158E-01 .6871E-01 .1203E+00
.3225E+03 .7176E+00 .5139E-01 .9547E-01 .4529E-01 .5971E-01 .1050E+00
.3230E+03 .6548E+00 .5123E-01 .9596E-01 .4515E-01 .6000E-01 .1051E+00
.3235E+03 .6988E+00 .6229E-01 .1190E+00 .5490E-01 .7436E-01 .1293E+00
.3240E+03 .7994E+00 .7326E-01 .1386E+00 .6457E-01 .8662E-01 .1512E+00
.3245E+03 .8457E+00 .7517E-01 .1397E+00 .6625E-01 .8738E-01 .1536E+00
.3250E+03 .8023E+00 .6662E-01 .1192E+00 .5872E-01 .7468E-01 .1334E+00
.3255E+03 .9630E+00 .8570E-01 .1545E+00 .7554E-01 .9674E-01 .1723E+00
.3260E+03 .1077E+01 .1047E+00 .1891E+00 .9230E-01 .1184E+00 .2107E+00
.3265E+03 .1020E+01 .1052E+00 .1898E+00 .9274E-01 .1188E+00 .2116E+00
.3270E+03 .1033E+01 .1060E+00 .1880E+00 .9342E-01 .1178E+00 .2112E+00
.3275E+03 .1019E+01 .1035E+00 .1805E+00 .9123E-01 .1132E+00 .2044E+00
.3280E+03 .9751E+00 .9330E-01 .1593E+00 .8224E-01 .9999E-01 .1822E+00
.3285E+03 .9345E+00 .9852E-01 .1683E+00 .8684E-01 .1056E+00 .1925E+00
.3290E+03 .1048E+01 .1179E+00 .2025E+00 .1039E+00 .1271E+00 .2310E+00
.3295E+03 .1166E+01 .1345E+00 .2296E+00 .1185E+00 .1441E+00 .2627E+00
.3300E+03 .1189E+01 .1372E+00 .2303E+00 .1209E+00 .1447E+00 .2656E+00
.3305E+03 .9952E+00 .1115E+00 .1826E+00 .9832E-01 .1148E+00 .2131E+00
.3310E+03 .1028E+01 .1148E+00 .1852E+00 .1012E+00 .1165E+00 .2177E+00
.3315E+03 .1004E+01 .1172E+00 .1886E+00 .1033E+00 .1187E+00 .2220E+00
