time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,4.61,96.81,0.0,-0.0,0.0,313.54,1.81,229.0,102600.0
20080101:0100,4.15,97.31,0.0,-0.0,0.0,314.02,1.68,227.0,102580.0
20080101:0200,3.69,97.81,0.0,-0.0,0.0,314.5,1.55,223.0,102550.0
20080101:0300,3.23,98.3,0.0,-0.0,0.0,314.98,1.42,209.0,102500.0
20080101:0400,2.78,98.8,0.0,-0.0,0.0,315.46,1.29,195.0,102440.0
20080101:0500,2.32,99.3,0.0,-0.0,0.0,315.94,1.15,178.0,102420.0
20080101:0600,1.86,99.8,0.0,-0.0,0.0,316.42,1.02,161.0,102400.0
20080101:0700,1.4,100.0,0.0,-0.0,0.0,316.9,0.89,109.0,102360.0
20080101:0800,2.88,99.4,3.0,0.0,3.0,322.2,1.38,103.0,102350.0
20080101:0900,3.29,100.0,47.0,6.89,46.0,323.2,1.72,105.0,102360.0
20080101:1000,3.8,99.4,135.0,161.36,99.0,319.1,1.93,106.0,102350.0
20080101:1100,4.31,95.75,99.0,11.32,96.0,316.05,2.0,104.0,102330.0
20080101:1200,4.73,92.25,71.0,0.0,71.0,316.8,2.14,105.0,102310.0
20080101:1300,4.97,88.85,50.0,0.0,50.0,310.6,2.21,104.0,102260.0
20080101:1400,4.92,85.6,38.0,0.0,38.0,299.2,2.28,98.0,102220.0
20080101:1500,4.5,88.85,19.0,53.77,16.0,294.15,2.21,89.0,102210.0
20080101:1600,3.66,92.15,0.0,-0.0,0.0,295.3,2.62,86.0,102220.0
20080101:1700,2.7,92.15,0.0,-0.0,0.0,280.4,3.03,92.0,102240.0
20080101:1800,1.54,92.05,0.0,-0.0,0.0,252.55,3.24,96.0,102250.0
20080101:1900,2.22,95.65,0.0,-0.0,0.0,280.05,3.17,93.0,102200.0
20080101:2000,1.7,92.05,0.0,-0.0,0.0,275.95,3.24,92.0,102190.0
20080101:2100,1.47,92.05,0.0,-0.0,0.0,284.1,3.24,93.0,102180.0
20080101:2200,1.27,92.05,0.0,-0.0,0.0,282.95,3.1,94.0,102190.0
20080101:2300,1.02,92.05,0.0,-0.0,0.0,276.35,3.03,94.0,102180.0
20080102:0000,0.73,92.0,0.0,-0.0,0.0,267.65,3.1,96.0,102180.0
20080102:0100,0.77,92.0,0.0,-0.0,0.0,280.9,3.1,98.0,102150.0
20080102:0200,0.77,88.5,0.0,-0.0,0.0,287.4,3.17,100.0,102130.0
20080102:0300,0.32,85.15,0.0,-0.0,0.0,269.2,3.24,98.0,102120.0
20080102:0400,-0.22,88.45,0.0,-0.0,0.0,258.55,3.24,96.0,102080.0
20080102:0500,-0.76,85.0,0.0,-0.0,0.0,247.7,3.24,95.0,102070.0
20080102:0600,-1.44,84.95,0.0,-0.0,0.0,225.05,3.17,94.0,102070.0
20080102:0700,-1.66,88.35,0.0,-0.0,0.0,229.5,3.17,89.0,102010.0
20080102:0800,-1.97,88.3,11.0,0.0,11.0,222.35,3.38,87.0,101980.0
20080102:0900,-1.48,88.35,110.0,418.43,49.0,218.5,3.52,86.0,101950.0
20080102:1000,-0.33,85.05,199.0,606.97,63.0,231.45,3.52,84.0,101930.0
20080102:1100,0.64,81.9,247.0,664.47,70.0,220.2,4.07,86.0,101870.0
20080102:1200,1.32,75.85,255.0,707.8,64.0,225.25,4.34,87.0,101780.0
20080102:1300,1.65,72.95,221.0,717.22,53.0,223.5,4.48,87.0,101670.0
20080102:1400,1.61,72.95,130.0,506.26,48.0,224.85,4.34,83.0,101610.0
20080102:1500,1.01,75.75,29.0,189.74,18.0,225.05,4.34,80.0,101530.0
20080102:1600,0.14,75.6,0.0,-0.0,0.0,225.65,4.55,80.0,101500.0
20080102:1700,-0.38,75.55,0.0,-0.0,0.0,221.4,4.62,83.0,101460.0
20080102:1800,-0.65,72.6,0.0,-0.0,0.0,222.15,4.62,87.0,101410.0
20080102:1900,-1.14,72.5,0.0,-0.0,0.0,221.0,4.41,91.0,101290.0
20080102:2000,-1.2,72.5,0.0,-0.0,0.0,223.9,4.28,90.0,101220.0
20080102:2100,-1.33,72.4,0.0,-0.0,0.0,217.7,4.28,88.0,101140.0
20080102:2200,-1.42,72.4,0.0,-0.0,0.0,217.15,4.21,88.0,101090.0
20080102:2300,-1.58,72.4,0.0,-0.0,0.0,211.9,4.28,87.0,101010.0
20080103:0000,-1.66,69.55,0.0,-0.0,0.0,214.2,4.41,85.0,100940.0
20080103:0100,-1.78,72.3,0.0,-0.0,0.0,212.2,4.55,84.0,100830.0
20080103:0200,-1.72,69.55,0.0,-0.0,0.0,223.5,4.69,85.0,100760.0
20080103:0300,-1.56,69.55,0.0,-0.0,0.0,235.7,4.9,86.0,100670.0
20080103:0400,-1.38,69.55,0.0,-0.0,0.0,245.75,4.97,88.0,100560.0
20080103:0500,-1.13,66.9,0.0,-0.0,0.0,257.75,4.97,89.0,100500.0
20080103:0600,-0.95,69.65,0.0,-0.0,0.0,263.0,5.03,89.0,100450.0
20080103:0700,-0.66,69.75,0.0,-0.0,0.0,276.75,4.76,89.0,100370.0
20080103:0800,-0.42,72.6,9.0,0.0,9.0,284.3,4.83,90.0,100340.0
20080103:0900,-0.08,69.85,52.0,13.65,50.0,279.85,4.62,93.0,100320.0
20080103:1000,0.52,69.95,195.0,586.29,63.0,285.25,4.28,91.0,100310.0
20080103:1100,1.18,70.05,103.0,14.94,99.0,279.65,4.34,92.0,100290.0
20080103:1200,1.48,70.1,130.0,51.56,116.0,287.75,4.0,89.0,100260.0
20080103:1300,1.46,72.95,40.0,0.0,40.0,301.1,3.72,87.0,100220.0
20080103:1400,1.45,75.85,89.0,121.86,69.0,311.95,3.86,90.0,100230.0
20080103:1500,1.32,75.85,14.0,0.0,14.0,314.65,4.28,95.0,100260.0
