angle,date,hour,power
10,2024-03-21,6,
10,2024-03-21,7,26.37675975046777
10,2024-03-21,8,42.02598232354825
10,2024-03-21,9,53.38108354567266
10,2024-03-21,10,103.58258184412594
10,2024-03-21,11,154.21540923833584
10,2024-03-21,12,180.09001202649202
10,2024-03-21,13,169.28584615628927
10,2024-03-21,14,113.46748298457007
10,2024-03-21,15,73.53771567863896
10,2024-03-21,16,26.09991409876069
10,2024-03-21,17,11.223598659507541
10,2024-03-21,18,0.0
10,2024-03-21,19,
10,2024-03-21,20,
10,2024-03-21,21,
10,2024-03-22,6,
10,2024-03-22,7,31.940141590236127
10,2024-03-22,8,89.6104619307585
10,2024-03-22,9,140.37335355043953
10,2024-03-22,10,175.78364423924435
10,2024-03-22,11,191.51512407746736
10,2024-03-22,12,196.84077162055183
10,2024-03-22,13,171.44717464655372
10,2024-03-22,14,163.27995070380476
10,2024-03-22,15,167.25795528814209
10,2024-03-22,16,77.73190530813358
10,2024-03-22,17,48.130840422945184
10,2024-03-22,18,0.0
10,2024-03-22,19,
10,2024-03-22,20,
10,2024-03-22,21,
10,2024-03-23,6,
10,2024-03-23,7,32.614589003894324
10,2024-03-23,8,91.71452407978599
10,2024-03-23,9,153.3338723840713
10,2024-03-23,10,202.39269422349622
10,2024-03-23,11,234.04454189327222
10,2024-03-23,12,251.63339347323813
10,2024-03-23,13,239.6351399259011
10,2024-03-23,14,220.97444300789434
10,2024-03-23,15,188.34888195149233
10,2024-03-23,16,120.93317757311493
10,2024-03-23,17,40.203719659072476
10,2024-03-23,18,0.0
10,2024-03-23,19,
10,2024-03-23,20,
10,2024-03-23,21,
10,2024-03-24,6,
10,2024-03-24,7,22.74732501061745
10,2024-03-24,8,0.0
10,2024-03-24,9,19.996043266184948
10,2024-03-24,10,25.605885254464994
10,2024-03-24,11,32.03560757632902
10,2024-03-24,12,44.55133629037255
10,2024-03-24,13,22.147062945946054
10,2024-03-24,14,18.18922941471014
10,2024-03-24,15,38.074944205562275
10,2024-03-24,16,63.72713291344014
