angle,azimuth,date,hour,power
35,120,2024-03-21,6,
35,120,2024-03-21,7,201.20056188467012
35,120,2024-03-21,8,157.4260239727895
35,120,2024-03-21,9,139.38336996579525
35,120,2024-03-21,10,202.1400022993545
35,120,2024-03-21,11,232.3404657768336
35,120,2024-03-21,12,219.4205738579823
35,120,2024-03-21,13,172.17537561127304
35,120,2024-03-21,14,99.5002595611828
35,120,2024-03-21,15,49.14048803524565
35,120,2024-03-21,16,12.518326904779572
35,120,2024-03-21,17,3.610516230296189
35,120,2024-03-21,18,0.0
35,120,2024-03-21,19,
35,120,2024-03-21,20,
35,120,2024-03-21,21,
35,120,2024-03-22,6,
35,120,2024-03-22,7,316.8647801367585
35,120,2024-03-22,8,320.971785825207
35,120,2024-03-22,9,310.0379211429324
35,120,2024-03-22,10,294.95317201481504
35,120,2024-03-22,11,262.00768049184603
35,120,2024-03-22,12,226.0972022197409
35,120,2024-03-22,13,168.7786907964586
35,120,2024-03-22,14,121.20033811795244
35,120,2024-03-22,15,82.95619732137664
35,120,2024-03-22,16,19.52209662436989
35,120,2024-03-22,17,3.2565748002545902
35,120,2024-03-22,18,0.0
35,120,2024-03-22,19,
35,120,2024-03-22,20,
35,120,2024-03-22,21,
35,130,2024-03-21,6,
35,130,2024-03-21,7,181.64905845799572
35,130,2024-03-21,8,149.7195947218778
35,130,2024-03-21,9,137.07079086200503
35,130,2024-03-21,10,203.92939174806335
35,130,2024-03-21,11,239.9533330423292
35,130,2024-03-21,12,232.32409556707063
35,130,2024-03-21,13,187.88075361503007
35,130,2024-03-21,14,113.04511467693138
35,130,2024-03-21,15,60.02903412680847
35,130,2024-03-21,16,16.815660575457443
35,130,2024-03-21,17,3.8619295445597537
35,130,2024-03-21,18,0.0
35,130,2024-03-21,19,
35,130,2024-03-21,20,
35,130,2024-03-21,21,
35,130,2024-03-22,6,
35,130,2024-03-22,7,282.610229331014
35,130,2024-03-22,8,304.7911744366841
35,130,2024-03-22,9,304.723121820681
35,130,2024-03-22,10,297.48641360217994
35,130,2024-03-22,11,270.5400624879487
35,130,2024-03-22,12,239.24915860163043
35,130,2024-03-22,13,183.91052297140345
35,130,2024-03-22,14,138.50759423098555
35,130,2024-03-22,15,105.25266389894232
35,130,2024-03-22,16,30.546008065939844
35,130,2024-03-22,17,3.4691642106708818
35,130,2024-03-22,18,0.0
35,130,2024-03-22,19,
35,130,2024-03-22,20,
35,130,2024-03-22,21,
35,140,2024-03-21,6,
35,140,2024-03-21,7,157.09601660699138
35,140,2024-03-21,8,138.6793239399235
35,140,2024-03-21,9,132.17965408292793
35,140,2024-03-21,10,202.31596559793408
35,140,2024-03-21,11,244.03792239911616
35,140,2024-03-21,12,242.2442832900497
35,140,2024-03-21,13,201.579189676111
35,140,2024-03-21,14,125.77217246615076
35,140,2024-03-21,15,70.97732346499957
35,140,2024-03-21,16,22.03025064280162
35,140,2024-03-21,17,4.601600165628403
35,140,2024-03-21,18,0.0
35,140,2024-03-21,19,
35,140,2024-03-21,20,
35,140,2024-03-21,21,
35,140,2024-03-22,6,
35,140,2024-03-22,7,239.3484308934731
35,140,2024-03-22,8,281.4607736152862
35,140,2024-03-22,9,293.5631721251245
35,140,2024-03-22,10,295.07382408833627
35,140,2024-03-22,11,275.0980830192608
35,140,2024-03-22,12,249.3567229532499
35,140,2024-03-22,13,197.11314723420548
35,140,2024-03-22,14,154.7184017754427
35,140,2024-03-22,15,127.32939004908545
35,140,2024-03-22,16,43.3479649610431
35,140,2024-03-22,17,7.061979293361473
35,140,2024-03-22,18,0.0
35,140,2024-03-22,19,
35,140,2024-03-22,20,
35,140,2024-03-22,21,
30,120,2024-03-21,6,
30,120,2024-03-21,7,173.10488010915407
30,120,2024-03-21,8,139.05553275924476
30,120,2024-03-21,9,125.91127700733288
30,120,2024-03-21,10,187.26520233884156
30,120,2024-03-21,11,221.19704080631334
30,120,2024-03-21,12,213.41701003540953
30,120,2024-03-21,13,171.10966967609465
30,120,2024-03-21,14,101.29121448455197
30,120,2024-03-21,15,52.632145965306314
30,120,2024-03-21,16,14.406870930361036
30,120,2024-03-21,17,3.6636608691511086
30,120,2024-03-21,18,0.0
30,120,2024-03-21,19,
30,120,2024-03-21,20,
30,120,2024-03-21,21,
30,120,2024-03-22,6,
30,120,2024-03-22,7,276.7537883737774
30,120,2024-03-22,8,291.76322996500676
30,120,2024-03-22,9,288.48892420440745
30,120,2024-03-22,10,279.3616905857045
30,120,2024-03-22,11,251.58373214656774
30,120,2024-03-22,12,220.99749533173335
30,120,2024-03-22,13,168.1527064987079
