angle,azimuth,date,hour,power
38,180,21/03/2024,6,0
38,180,21/03/2024,7,32.94035671
38,180,21/03/2024,8,70.99186374
38,180,21/03/2024,9,93.45949251
38,180,21/03/2024,10,168.6335614
38,180,21/03/2024,11,229.3009965
38,180,21/03/2024,12,252.9423604
38,180,21/03/2024,13,234.2892327
38,180,21/03/2024,14,165.2861819
38,180,21/03/2024,15,110.2900921
38,180,21/03/2024,16,44.16981035
38,180,21/03/2024,17,16.45206979
38,180,21/03/2024,18,0
38,180,21/03/2024,19,0
38,180,21/03/2024,20,0
38,180,21/03/2024,21,0
38,180,22/03/2024,6,0
38,180,22/03/2024,7,44.99398022
38,180,22/03/2024,8,132.6644838
38,180,22/03/2024,9,200.6737651
38,180,22/03/2024,10,242.9429001
38,180,22/03/2024,11,257.3190573
38,180,22/03/2024,12,259.6658128
38,180,22/03/2024,13,228.4375387
38,180,22/03/2024,14,203.8194155
38,180,22/03/2024,15,203.1605433
38,180,22/03/2024,16,95.15606885
38,180,22/03/2024,17,61.78265402
38,180,22/03/2024,18,0
38,180,22/03/2024,19,0
38,180,22/03/2024,20,0
38,180,22/03/2024,21,0
38,180,23/03/2024,6,0
38,180,23/03/2024,7,47.06754108
38,180,23/03/2024,8,142.2075713
38,180,23/03/2024,9,221.3849795
38,180,23/03/2024,10,277.5375382
38,180,23/03/2024,11,307.8889966
38,180,23/03/2024,12,325.6913602
38,180,23/03/2024,13,310.9707111
38,180,23/03/2024,14,285.0040875
38,180,23/03/2024,15,244.0886394
38,180,23/03/2024,16,158.7785679
38,180,23/03/2024,17,52.60967374
38,180,23/03/2024,18,0
38,180,23/03/2024,19,0
38,180,23/03/2024,20,0
38,180,23/03/2024,21,0
38,180,24/03/2024,6,0
38,180,24/03/2024,7,27.65092531
38,180,24/03/2024,8,0
38,180,24/03/2024,9,35.47293247
38,180,24/03/2024,10,46.46694912
38,180,24/03/2024,11,58.68048075
38,180,24/03/2024,12,81.95519687
38,180,24/03/2024,13,40.77196887
38,180,24/03/2024,14,33.33148801
38,180,24/03/2024,15,67.14211823
38,180,24/03/2024,16,84.22035844
38,180,24/03/2024,17,35.69786719
38,180,24/03/2024,18,0
38,180,24/03/2024,19,0
38,180,24/03/2024,20,0
38,180,24/03/2024,21,0
38,180,25/03/2024,6,0
38,180,25/03/2024,7,21.62429074
38,180,25/03/2024,8,33.54757598
38,180,25/03/2024,9,104.5820369
38,180,25/03/2024,10,145.0488775
38,180,25/03/2024,11,180.2053252
38,180,25/03/2024,12,165.7497594
38,180,25/03/2024,13,230.7825376
38,180,25/03/2024,14,162.5562323
38,180,25/03/2024,15,78.26975678
38,180,25/03/2024,16,28.26236268
38,180,25/03/2024,17,10.28507039
38,180,25/03/2024,18,0
38,180,25/03/2024,19,0
38,180,25/03/2024,20,0
38,180,25/03/2024,21,0
38,180,26/03/2024,6,0
38,180,26/03/2024,7,28.63252569
38,180,26/03/2024,8,31.5381991
38,180,26/03/2024,9,103.0757722
38,180,26/03/2024,10,107.8094182
38,180,26/03/2024,11,175.2566984
38,180,26/03/2024,12,219.0365678
38,180,26/03/2024,13,79.6607806
38,180,26/03/2024,14,116.6520671
38,180,26/03/2024,15,46.33524105
38,180,26/03/2024,16,47.38599566
38,180,26/03/2024,17,19.17889497
38,180,26/03/2024,18,0
38,180,26/03/2024,19,0
38,180,26/03/2024,20,0
38,180,26/03/2024,21,0
38,180,27/03/2024,6,0
38,180,27/03/2024,7,17.44023658
38,180,27/03/2024,8,58.65016363
38,180,27/03/2024,9,208.1098892
38,180,27/03/2024,10,210.2566981
38,180,27/03/2024,11,167.2410968
