angle,date,hour,power
38,2024-03-21,6,
38,2024-03-21,7,217.19744860959477
38,2024-03-21,8,167.68162049570464
38,2024-03-21,9,146.7176834662906
38,2024-03-21,10,209.98959499476052
38,2024-03-21,11,237.94057577278068
38,2024-03-21,12,222.0622596837636
38,2024-03-21,13,172.05542859909744
38,2024-03-21,14,97.9001278480941
38,2024-03-21,15,46.77809568203549
38,2024-03-21,16,11.672596136675518
38,2024-03-21,17,3.5955256373314644
38,2024-03-21,18,0.0
38,2024-03-21,19,
38,2024-03-21,20,
38,2024-03-21,21,
38,2024-03-22,6,
38,2024-03-22,7,339.34326460604717
38,2024-03-22,8,337.0371726962958
38,2024-03-22,9,321.700760083322
38,2024-03-22,10,303.153986778695
38,2024-03-22,11,267.2070381132225
38,2024-03-22,12,228.26538196846894
38,2024-03-22,13,168.45194734338253
38,2024-03-22,14,118.55731935850748
38,2024-03-22,15,77.32432013016346
38,2024-03-22,16,16.60088649022345
38,2024-03-22,17,3.266740626666282
38,2024-03-22,18,0.0
38,2024-03-22,19,
38,2024-03-22,20,
38,2024-03-22,21,
38,2024-03-23,6,
38,2024-03-23,7,427.3710386433814
38,2024-03-23,8,366.7643646365822
38,2024-03-23,9,359.81374263740236
38,2024-03-23,10,348.69796373540476
38,2024-03-23,11,320.1290083506234
38,2024-03-23,12,285.4808606429564
38,2024-03-23,13,227.26563884687403
38,2024-03-23,14,163.69214326718725
38,2024-03-23,15,91.46453317452625
38,2024-03-23,16,19.77864806322937
38,2024-03-23,17,4.038186618210805
38,2024-03-23,18,0.0
38,2024-03-23,19,
38,2024-03-23,20,
38,2024-03-23,21,
38,2024-03-24,6,
38,2024-03-24,7,174.15126642476392
38,2024-03-24,8,0.0
38,2024-03-24,9,54.79298218923247
38,2024-03-24,10,57.315433310931
38,2024-03-24,11,60.87162246263027
38,2024-03-24,12,72.69081552121258
38,2024-03-24,13,30.699371017339377
38,2024-03-24,14,20.555002848387822
38,2024-03-24,15,30.607042336523307
38,2024-03-24,16,17.585709100291698
38,2024-03-24,17,4.29822637905523
38,2024-03-24,18,0.0
38,2024-03-24,19,0.0
38,2024-03-24,20,
38,2024-03-24,21,
38,2024-03-25,6,
38,2024-03-25,7,146.5679018785689
38,2024-03-25,8,76.61144167223529
38,2024-03-25,9,163.82118618488875
38,2024-03-25,10,180.15610579697133
38,2024-03-25,11,187.25591843156647
38,2024-03-25,12,146.6670255756377
38,2024-03-25,13,170.37284809177163
38,2024-03-25,14,96.90292160617606
38,2024-03-25,15,34.99597359175283
38,2024-03-25,16,7.692179242697345
38,2024-03-25,17,2.4380221957616617
38,2024-03-25,18,0.0
38,2024-03-25,19,0.0
38,2024-03-25,20,
38,2024-03-25,21,
38,2024-03-26,6,
38,2024-03-26,7,149.83678961948843
38,2024-03-26,8,67.29007219452686
38,2024-03-26,9,157.9881987712063
38,2024-03-26,10,132.52591228454497
38,2024-03-26,11,182.10088273791757
38,2024-03-26,12,193.6864174456337
38,2024-03-26,13,60.29871770689772
38,2024-03-26,14,71.10605561234964
38,2024-03-26,15,21.41362348087666
38,2024-03-26,16,12.508289928758584
38,2024-03-26,17,4.13053611962834
38,2024-03-26,18,0.0
38,2024-03-26,19,0.0
38,2024-03-26,20,
38,2024-03-26,21,
38,2024-03-27,6,
38,2024-03-27,7,115.2330551614472
38,2024-03-27,8,133.9401291684519
38,2024-03-27,9,338.31117420539204
38,2024-03-27,10,263.1176688950794
38,2024-03-27,11,173.91135268586552
38,2024-03-27,12,204.73542820278095
38,2024-03-27,13,29.869849930919308
38,2024-03-27,14,17.50299175822458
38,2024-03-27,15,65.62043281765222
38,2024-03-27,16,4.40902582088148
38,2024-03-27,17,3.8373551280555755
38,2024-03-27,18,0.0
38,2024-03-27,19,0.0
38,2024-03-27,20,
38,2024-03-27,21,
38,2024-03-28,6,
38,2024-03-28,7,308.3979964148614
38,2024-03-28,8,194.34503377559759
38,2024-03-28,9,114.55360565639131
38,2024-03-28,10,57.91571973928875
38,2024-03-28,11,169.37860230709956
38,2024-03-28,12,39.12253096616722
38,2024-03-28,13,229.71428106588752
38,2024-03-28,14,80.60246047735951
38,2024-03-28,15,66.51850579492258
38,2024-03-28,16,18.846572068322327
38,2024-03-28,17,5.525133023723923
38,2024-03-28,18,0.0
38,2024-03-28,19,0.0
38,2024-03-28,20,
38,2024-03-28,21,
38,2024-03-29,6,
38,2024-03-29,7,175.28502986871013
38,2024-03-29,8,201.36461366281418
38,2024-03-29,9,184.67923454660826
38,2024-03-29,10,216.7096323800937
38,2024-03-29,11,79.55249601303503
38,2024-03-29,12,58.762898272240605
38,2024-03-29,13,35.65214265603093
38,2024-03-29,14,56.0463064915553
38,2024-03-29,15,34.67751379907496
38,2024-03-29,16,0.0
38,2024-03-29,17,4.719400873226185
38,2024-03-29,18,0.0
38,2024-03-29,19,0.0
38,2024-03-29,20,
38,2024-03-29,21,
38,2024-03-30,6,
38,2024-03-30,7,131.87978876768685
38,2024-03-30,8,76.7957803572591
38,2024-03-30,9,124.51663293021187
38,2024-03-30,10,69.91338932955216
38,2024-03-30,11,83.75319274569856
38,2024-03-30,12,96.94133750362658
38,2024-03-30,13,82.06912048940194
38,2024-03-30,14,46.2989375696105
38,2024-03-30,15,18.346485118926168
38,2024-03-30,16,6.616239116324754
38,2024-03-30,17,3.8398742832530925
38,2024-03-30,18,0.0
38,2024-03-30,19,0.0
38,2024-03-30,20,
38,2024-03-30,21,
38,2024-03-31,6,
38,2024-03-31,7,
38,2024-03-31,8,203.9275347919214
38,2024-03-31,9,114.8483267556967
38,2024-03-31,10,65.10380760327597
38,2024-03-31,11,141.38763367555384
38,2024-03-31,12,207.46534326451967
38,2024-03-31,13,62.07969464712301
38,2024-03-31,14,65.11187271091663
38,2024-03-31,15,23.358050123141673
38,2024-03-31,16,31.86091701106554
38,2024-03-31,17,13.259530588544235
38,2024-03-31,18,0.0
38,2024-03-31,19,0.0
38,2024-03-31,20,0.0
38,2024-03-31,21,
38,2024-04-01,6,
38,2024-04-01,7,
38,2024-04-01,8,169.15749257889686
38,2024-04-01,9,66.69938279637016
38,2024-04-01,10,188.23547213136032
38,2024-04-01,11,243.69524718863704
38,2024-04-01,12,98.77779115082294
38,2024-04-01,13,49.67992144453341
