angle,azimuth,date,hour,power
38,90,2024-03-21,6,0.0
38,90,2024-03-21,7,243.1174080692388
38,90,2024-03-21,8,169.31634245062403
38,90,2024-03-21,9,137.08953850621089
38,90,2024-03-21,10,182.9897690479028
38,90,2024-03-21,11,193.0707020353336
38,90,2024-03-21,12,165.10727726142383
38,90,2024-03-21,13,113.14546846790292
38,90,2024-03-21,14,53.96570110421444
38,90,2024-03-21,15,21.19873447619641
38,90,2024-03-21,16,9.308006519405769
38,90,2024-03-21,17,3.213684369825641
38,90,2024-03-21,18,0.0
38,90,2024-03-21,19,0.0
38,90,2024-03-21,20,0.0
38,90,2024-03-21,21,0.0
38,90,2024-03-22,6,0.0
38,90,2024-03-22,7,383.9052526938751
38,90,2024-03-22,8,340.7864263320646
38,90,2024-03-22,9,300.6982115096986
38,90,2024-03-22,10,264.4291522681934
38,90,2024-03-22,11,216.9194803700141
38,90,2024-03-22,12,170.22982038908754
38,90,2024-03-22,13,111.79891741167616
38,90,2024-03-22,14,62.22141231168112
38,90,2024-03-22,15,19.242366312763416
38,90,2024-03-22,16,9.226354637009166
38,90,2024-03-22,17,2.943344589173816
38,90,2024-03-22,18,0.0
38,90,2024-03-22,19,0.0
38,90,2024-03-22,20,0.0
38,90,2024-03-22,21,0.0
38,90,2024-03-23,6,0.0
38,90,2024-03-23,7,482.8639199979217
38,90,2024-03-23,8,371.4313835628867
38,90,2024-03-23,9,336.1437408677471
38,90,2024-03-23,10,303.4597001870308
38,90,2024-03-23,11,259.2221935622271
38,90,2024-03-23,12,210.98490877069457
38,90,2024-03-23,13,147.52502665420425
38,90,2024-03-23,14,81.74002809283022
38,90,2024-03-23,15,20.94324209302272
38,90,2024-03-23,16,7.233203081588093
38,90,2024-03-23,17,3.661113011885787
38,90,2024-03-23,18,0.0
38,90,2024-03-23,19,0.0
38,90,2024-03-23,20,0.0
38,90,2024-03-23,21,0.0
38,90,2024-03-24,6,0.0
38,90,2024-03-24,7,195.3275703810216
38,90,2024-03-24,8,0.0
38,90,2024-03-24,9,51.50518632571702
38,90,2024-03-24,10,50.47657846534673
38,90,2024-03-24,11,50.29342391374748
38,90,2024-03-24,12,55.92250753003774
38,90,2024-03-24,13,21.551493646673045
38,90,2024-03-24,14,12.605940610695727
38,90,2024-03-24,15,16.577033480361074
38,90,2024-03-24,16,11.103092869942683
