angle,azimuth,date,hour,power
38,99,2024-03-21,6,0.0
38,99,2024-03-21,7,241.50084843838272
38,99,2024-03-21,8,172.60525355639183
38,99,2024-03-21,9,142.63761182254916
38,99,2024-03-21,10,194.2189489367468
38,99,2024-03-21,11,209.3547696289169
38,99,2024-03-21,12,184.11885540116145
38,99,2024-03-21,13,131.53330470044705
38,99,2024-03-21,14,66.50660865801325
38,99,2024-03-21,15,26.24999806925681
38,99,2024-03-21,16,9.610694744788162
38,99,2024-03-21,17,3.2826008107873985
38,99,2024-03-21,18,0.0
38,99,2024-03-21,19,0.0
38,99,2024-03-21,20,0.0
38,99,2024-03-21,21,0.0
38,99,2024-03-22,6,0.0
38,99,2024-03-22,7,380.982106194818
38,99,2024-03-22,8,347.28679525858905
38,99,2024-03-22,9,312.9165011535235
38,99,2024-03-22,10,280.6138165702956
38,99,2024-03-22,11,235.2087906544627
38,99,2024-03-22,12,189.6226053726411
38,99,2024-03-22,13,129.47964531479266
38,99,2024-03-22,14,78.36417147269765
38,99,2024-03-22,15,32.60872360795024
38,99,2024-03-22,16,9.498840684283223
38,99,2024-03-22,17,3.0017461014218147
38,99,2024-03-22,18,0.0
38,99,2024-03-22,19,0.0
38,99,2024-03-22,20,0.0
38,99,2024-03-22,21,0.0
38,99,2024-03-23,6,0.0
38,99,2024-03-23,7,479.02240336008833
38,99,2024-03-23,8,378.523318221364
38,99,2024-03-23,9,350.007947306087
38,99,2024-03-23,10,322.3878709585108
38,99,2024-03-23,11,281.40114584010024
38,99,2024-03-23,12,235.9247546218369
38,99,2024-03-23,13,172.5542554884412
38,99,2024-03-23,14,105.6080673950202
38,99,2024-03-23,15,37.26277100693072
38,99,2024-03-23,16,7.457139980601301
38,99,2024-03-23,17,3.729234166540843
38,99,2024-03-23,18,0.0
38,99,2024-03-23,19,0.0
38,99,2024-03-23,20,0.0
38,99,2024-03-23,21,0.0
38,99,2024-03-24,6,0.0
38,99,2024-03-24,7,193.79280609083384
38,99,2024-03-24,8,0.0
38,99,2024-03-24,9,53.44488541960226
38,99,2024-03-24,10,53.334389944061925
38,99,2024-03-24,11,54.120982110673424
38,99,2024-03-24,12,61.465179618889366
38,99,2024-03-24,13,24.36411889174966
38,99,2024-03-24,14,14.842277370355593
38,99,2024-03-24,15,19.112692316771728
38,99,2024-03-24,16,11.444616488331674
38,99,2024-03-24,17,3.986221030522693
38,99,2024-03-24,18,0.0
38,99,2024-03-24,19,0.0
38,99,2024-03-24,20,0.0
38,99,2024-03-24,21,0.0
38,99,2024-03-25,6,0.0
38,99,2024-03-25,7,163.41555250714637
38,99,2024-03-25,8,79.05695892010753
38,99,2024-03-25,9,159.81810231781725
38,99,2024-03-25,10,167.4529109519811
38,99,2024-03-25,11,165.98952111190252
38,99,2024-03-25,12,123.45816597633942
38,99,2024-03-25,13,131.46787908806982
38,99,2024-03-25,14,66.6748077424571
38,99,2024-03-25,15,21.165297250077494
38,99,2024-03-25,16,6.611331577348615
38,99,2024-03-25,17,2.266620273002144
38,99,2024-03-25,18,0.0
38,99,2024-03-25,19,0.0
38,99,2024-03-25,20,0.0
38,99,2024-03-25,21,0.0
38,99,2024-03-26,6,0.0
38,99,2024-03-26,7,166.3020809511414
38,99,2024-03-26,8,69.33668759067547
38,99,2024-03-26,9,154.42595133195823
38,99,2024-03-26,10,123.70882340758644
38,99,2024-03-26,11,161.8976374248822
38,99,2024-03-26,12,162.671353109361
38,99,2024-03-26,13,48.18196675848214
38,99,2024-03-26,14,50.52078719020588
38,99,2024-03-26,15,13.531825969873172
38,99,2024-03-26,16,10.190925227110812
38,99,2024-03-26,17,3.821762808855188
38,99,2024-03-26,18,0.0
38,99,2024-03-26,19,0.0
38,99,2024-03-26,20,0.0
38,99,2024-03-26,21,0.0
38,99,2024-03-27,6,0.0
38,99,2024-03-27,7,128.61035793209618
38,99,2024-03-27,8,138.42266605171542
38,99,2024-03-27,9,330.19580334928526
38,99,2024-03-27,10,244.54778020007305
38,99,2024-03-27,11,154.65985870467333
38,99,2024-03-27,12,171.76437316300542
38,99,2024-03-27,13,23.824024920960014
38,99,2024-03-27,14,12.686286615901295
38,99,2024-03-27,15,33.53305669029543
38,99,2024-03-27,16,3.836447740505995
38,99,2024-03-27,17,3.623167352724128
38,99,2024-03-27,18,0.0
38,99,2024-03-27,19,0.0
38,99,2024-03-27,20,0.0
38,99,2024-03-27,21,0.0
38,99,2024-03-28,6,0.0
38,99,2024-03-28,7,345.4975914347376
38,99,2024-03-28,8,200.9617207903169
38,99,2024-03-28,9,112.08676590116868
38,99,2024-03-28,10,54.0880308765521
38,99,2024-03-28,11,150.86471661829967
38,99,2024-03-28,12,33.25181111184125
38,99,2024-03-28,13,176.4187115410278
38,99,2024-03-28,14,57.81458055809073
38,99,2024-03-28,15,35.55522341561297
38,99,2024-03-28,16,12.96410842798112
38,99,2024-03-28,17,5.100970247955475
38,99,2024-03-28,18,0.0
38,99,2024-03-28,19,0.0
38,99,2024-03-28,20,0.0
38,99,2024-03-28,21,0.0
38,99,2024-03-29,6,0.0
38,99,2024-03-29,7,195.7563572965776
38,99,2024-03-29,8,208.447657057142
38,99,2024-03-29,9,180.76625429334416
38,99,2024-03-29,10,202.11736414246772
38,99,2024-03-29,11,71.07056373101136
38,99,2024-03-29,12,49.985968567666106
38,99,2024-03-29,13,28.52031443192749
38,99,2024-03-29,14,40.658951701702506
38,99,2024-03-29,15,21.372609944485387
38,99,2024-03-29,16,0.0
38,99,2024-03-29,17,4.437875803509725
38,99,2024-03-29,18,0.0
38,99,2024-03-29,19,0.0
38,99,2024-03-29,20,0.0
38,99,2024-03-29,21,0.0
38,99,2024-03-30,6,0.0
38,99,2024-03-30,7,146.85672880180036
