angle,date,hour,power
90,2024-03-21,6,
90,2024-03-21,7,29.305272343386697
90,2024-03-21,8,65.48917270293481
90,2024-03-21,9,87.30475397203011
90,2024-03-21,10,154.56830280742676
90,2024-03-21,11,205.7408386193557
90,2024-03-21,12,224.45310835894128
90,2024-03-21,13,207.6737395168969
90,2024-03-21,14,150.87049457703893
90,2024-03-21,15,100.99609859470257
90,2024-03-21,16,41.437483746011736
90,2024-03-21,17,14.86824561910382
90,2024-03-21,18,0.0
90,2024-03-21,19,
90,2024-03-21,20,
90,2024-03-21,21,
90,2024-03-22,6,
90,2024-03-22,7,40.73125803516769
90,2024-03-22,8,116.3916674845203
90,2024-03-22,9,175.6953157907613
90,2024-03-22,10,215.72457687060742
90,2024-03-22,11,233.47776393792824
90,2024-03-22,12,235.60832007224525
90,2024-03-22,13,208.61129231697404
90,2024-03-22,14,188.64777879494483
90,2024-03-22,15,183.00169913669507
90,2024-03-22,16,89.89095776301374
90,2024-03-22,17,49.54091934820675
90,2024-03-22,18,0.0
90,2024-03-22,19,
90,2024-03-22,20,
90,2024-03-22,21,
90,2024-03-23,6,
90,2024-03-23,7,37.172924260214295
90,2024-03-23,8,114.11227360527067
90,2024-03-23,9,182.49785091175443
90,2024-03-23,10,232.52518799463917
90,2024-03-23,11,260.8521921401623
90,2024-03-23,12,269.88030446649896
90,2024-03-23,13,258.9795262564242
90,2024-03-23,14,237.2605221911695
90,2024-03-23,15,198.76372874557677
90,2024-03-23,16,126.71141409227653
90,2024-03-23,17,41.394582950874
90,2024-03-23,18,0.0
90,2024-03-23,19,
90,2024-03-23,20,
90,2024-03-23,21,
90,2024-03-24,6,
90,2024-03-24,7,19.657690322075045
90,2024-03-24,8,0.0
90,2024-03-24,9,31.916044110520463
90,2024-03-24,10,42.56884135622231
90,2024-03-24,11,54.3042254244027
90,2024-03-24,12,76.1839052247162
90,2024-03-24,13,37.93251777698242
90,2024-03-24,14,30.997186133687265
90,2024-03-24,15,61.600059225601115
90,2024-03-24,16,72.84626267826198
90,2024-03-24,17,30.111283299838455
90,2024-03-24,18,0.0
90,2024-03-24,19,0.0
90,2024-03-24,20,
90,2024-03-24,21,
90,2024-03-25,6,
90,2024-03-25,7,14.64055782837322
90,2024-03-25,8,29.01203981214387
90,2024-03-25,9,92.71065422613069
90,2024-03-25,10,129.69170790641715
90,2024-03-25,11,161.42253664764127
90,2024-03-25,12,150.15854401931506
90,2024-03-25,13,200.22738034953187
90,2024-03-25,14,143.90043527558856
90,2024-03-25,15,71.23516653811869
90,2024-03-25,16,25.77867667846531
90,2024-03-25,17,9.105205859549864
90,2024-03-25,18,0.0
90,2024-03-25,19,0.0
90,2024-03-25,20,
90,2024-03-25,21,
90,2024-03-26,6,
90,2024-03-26,7,18.487310104827543
90,2024-03-26,8,27.038312326548105
90,2024-03-26,9,91.73799424617131
90,2024-03-26,10,99.06847248710406
90,2024-03-26,11,160.34878936773902
90,2024-03-26,12,196.3570722134996
90,2024-03-26,13,75.95688594861033
90,2024-03-26,14,109.26272133661656
90,2024-03-26,15,44.09314163875271
90,2024-03-26,16,43.523362566787846
90,2024-03-26,17,16.7008432185944
90,2024-03-26,18,0.0
90,2024-03-26,19,0.0
90,2024-03-26,20,
90,2024-03-26,21,
90,2024-03-27,6,
90,2024-03-27,7,11.928868361141395
90,2024-03-27,8,49.87008901287107
90,2024-03-27,9,169.63166354861085
90,2024-03-27,10,181.95953372853063
90,2024-03-27,11,149.59619913559527
90,2024-03-27,12,201.48577510917897
90,2024-03-27,13,36.614606741197505
90,2024-03-27,14,25.852758675187317
90,2024-03-27,15,142.4927958357436
90,2024-03-27,16,14.360511904958486
90,2024-03-27,17,46.460583280363196
90,2024-03-27,18,0.0
90,2024-03-27,19,0.0
90,2024-03-27,20,
90,2024-03-27,21,
90,2024-03-28,6,
90,2024-03-28,7,22.904977463542853
90,2024-03-28,8,66.4015149077794
90,2024-03-28,9,63.90756186979007
90,2024-03-28,10,41.69724391460525
90,2024-03-28,11,142.82237016159968
90,2024-03-28,12,39.74411508407273
90,2024-03-28,13,255.55562365267502
90,2024-03-28,14,116.15835665357005
90,2024-03-28,15,134.00395368422372
90,2024-03-28,16,66.84680273978007
90,2024-03-28,17,22.747465225942097
90,2024-03-28,18,0.0
90,2024-03-28,19,0.0
90,2024-03-28,20,
90,2024-03-28,21,
90,2024-03-29,6,
90,2024-03-29,7,18.118873472674238
90,2024-03-29,8,68.0920507942426
90,2024-03-29,9,100.63346535104188
90,2024-03-29,10,150.350829228561
90,2024-03-29,11,70.27335712159419
90,2024-03-29,12,61.07116860044103
90,2024-03-29,13,43.658860947719674
90,2024-03-29,14,83.3430689470901
90,2024-03-29,15,69.04560125227985
90,2024-03-29,16,0.0
90,2024-03-29,17,19.84307463247972
90,2024-03-29,18,0.0
